Electricity consumption(MW),Electricity production(MW),Electricity consumption player(MW),Electricity consumption Industrial Zones(MW),Electricity consumption Commercial Zones (MW),Electricity consumption Residential Zones(MW),Electricity consumption Office Zones(MW),Temperature(°C)
178,85,17.968,50.368,4.16,103.44,2.688,17.2811
178,85,17.936,51.248,3.952,102.736,2.768,17.33977
176,85,17.968,48.848,4.064,102.8,2.72,17.39525
175,85,17.872,47.776,3.84,103.072,2.768,17.4477
176,85,17.808,48.928,4.128,103.072,2.8,17.49745
174,85,17.872,47.392,4.032,102.256,2.848,17.54432
172,85,17.824,46.384,3.968,101.952,2.72,17.58915
172,85,17.84,46.336,3.952,102.08,2.752,17.63152
174,85,17.792,47.152,4.144,102.32,2.768,17.67141
174,85,17.632,48.672,3.952,101.52,2.8,17.70912
172,85,17.792,46.576,3.968,101.568,2.688,17.74492
171,85,17.744,46.48,4.016,100.72,2.704,17.77899
172,85,17.696,47.872,3.888,100.688,2.768,17.81111
171,85,17.632,46.128,3.984,101.376,2.768,17.84139
171,85,17.584,46.256,3.92,101.072,2.752,17.87075
172,85,17.808,47.52,3.968,100.848,2.768,17.89758
174,85,17.792,48.448,3.984,101.152,2.704,17.9234
172,85,17.664,47.744,3.824,100.864,2.72,17.94823
176,85,17.632,51.632,3.968,100.8,2.688,17.8012
178,82,17.824,51.104,3.888,102.704,2.832,17.54966
179,82,17.904,52.096,4.144,102.304,2.848,17.31195
181,82,17.872,52.16,4.272,104.032,2.8,17.08928
182,82,18.032,52.608,4.224,104.752,2.864,16.87279
185,82,18.112,53.072,4.352,106.864,2.864,16.67397
185,84,18.24,53.36,4.048,107.12,2.848,16.48384
187,85,18.176,54,4.4,107.616,2.864,16.30261
188,85,18.304,55.312,4.192,107.808,2.8,16.12989
189,85,18.384,54.352,4.464,109.04,3.04,15.9682
187,85,18.384,52.416,4.384,109.6,2.944,15.81486
187,85,18.4,51.776,4.512,110.256,2.96,15.66993
175,72,18.416,38.576,4.48,111.088,3.12,15.53193
173,72,18.368,36.736,4.608,110.8,2.864,15.40211
174,72,18.368,36.896,4.736,111.104,3.04,15.27718
173,72,18.448,36,4.464,111.68,3.072,15.16095
177,72,18.544,38.304,4.896,112.4,3.072,15.04997
177,72,18.592,39.024,5.008,112.288,3.072,14.94614
177,72,18.656,38.352,4.8,112.608,3.184,14.84617
176,72,18.672,36.608,5.12,112.992,2.928,14.75224
178,72,18.672,38.464,4.8,113.76,3.056,14.66379
180,72,18.64,39.616,4.88,114.24,3.12,14.57999
181,72,18.72,39.968,5.008,114.752,3.056,14.49957
180,72,18.72,39.552,4.832,114.256,3.008,14.42426
179,72,18.768,38.56,4.784,114.656,3.136,14.35317
181,72,18.8,39.984,5.008,114.784,3.008,14.2854
182,72,18.784,40.864,5.136,114.912,3.008,14.22083
180,72,18.896,38.736,4.912,115.232,3.184,14.16085
183,72,18.848,40.448,5.088,115.856,3.184,14.10305
183,72,18.864,40.688,5.104,115.232,3.152,14.04885
184,72,18.832,41.344,5.008,115.744,3.2,13.99696
184,72,18.928,40.64,5.2,116.16,3.264,13.94881
183,72,18.864,40.176,5.184,116.368,3.136,13.90247
184,72,18.944,40.8,5.072,116.32,3.2,13.85865
184,72,18.944,39.76,5.584,116.656,3.216,13.81692
186,72,18.96,41.744,5.232,116.848,3.232,13.77793
187,72,18.944,43.12,5.2,116.912,3.264,13.74125
185,72,18.96,41.184,5.056,116.88,3.2,13.7061
187,72,19.008,42.32,4.944,117.728,3.216,13.67243
185,72,19.04,41.056,5.152,117.168,3.2,13.64093
187,72,18.976,42.816,5.088,117.056,3.232,13.61117
184,72,19.056,39.568,5.36,117.04,3.168,13.58293
189,72,19.072,44.16,5.28,117.504,3.248,13.55642
189,72,19.024,44.128,5.376,117.312,3.184,13.53102
188,72,18.976,43.136,5.376,117.44,3.168,13.50708
188,72,19.072,44.128,5.232,117.248,3.264,13.48444
189,72,19.024,44.032,5.36,117.504,3.216,13.46283
189,72,19.008,44.752,5.296,117.504,3.264,13.44266
188,72,19.088,42.992,5.568,117.616,3.28,13.42323
186,72,19.04,41.392,5.44,117.632,3.216,13.40493
189,72,19.056,43.632,5.2,118.144,3.232,13.3878
188,72,19.12,42.768,5.2,118.08,3.296,13.37142
208,85,19.248,62.8,5.616,117.744,3.264,13.35584
209,85,19.168,63.568,5.28,117.84,3.184,13.34113
207,85,19.168,62.224,5.152,118.176,3.264,13.32747
206,85,19.216,60.4,5.392,118.144,3.248,13.31421
204,85,19.2,59.056,5.616,117.648,3.296,13.30157
206,85,19.216,60.592,5.312,117.968,3.296,13.29002
207,85,19.28,60.784,5.584,118.32,3.296,13.27872
206,85,19.28,60.4,5.504,118.224,3.232,13.26826
207,85,19.264,61.04,5.648,117.792,3.28,13.25818
205,85,19.28,58.752,5.744,118.144,3.328,13.24889
205,85,19.264,59.616,5.312,117.92,3.28,13.23972
205,85,19.264,60.048,5.504,117.76,3.152,13.23142
208,85,19.232,61.728,5.504,118.416,3.184,13.22301
205,85,19.248,59.152,5.504,118.112,3.088,13.21577
205,85,19.248,59.552,5.52,117.984,3.072,13.20848
204,85,19.264,59.456,5.232,117.696,3.2,13.20156
205,85,19.232,60.032,5.376,117.648,3.264,13.1953
204,85,19.216,58.208,5.552,117.952,3.216,13.18911
205,85,19.216,59.36,5.536,118.368,3.216,13.18321
207,85,19.296,60.816,5.456,118.192,3.296,13.17794
206,85,19.312,60.528,5.52,117.904,3.312,13.17276
205,85,19.248,59.776,5.312,117.984,3.28,13.16755
202,85,19.28,56.912,5.536,117.776,3.248,13.27909
200,85,19.168,55.248,5.504,117.12,3.248,13.39792
200,85,19.136,55.248,5.536,116.944,3.152,13.51155
200,85,19.104,55.936,5.168,116.672,3.232,13.6173
204,85,19.136,60.032,5.408,116.608,3.184,13.71779
202,85,19.072,58.512,5.12,116.48,3.232,13.8134
203,85,19.024,59.824,5.104,116.368,3.248,13.90475
202,85,19.088,59.392,5.008,115.664,3.2,13.99032
200,85,18.992,57.104,5.344,115.488,3.184,14.07137
200,85,18.896,58.64,5.04,115.104,3.184,14.14832
200,85,19.008,58.848,4.864,114.688,3.232,14.2205
200,85,18.896,58.912,4.992,115.008,3.168,14.28939
199,85,18.864,58.48,4.768,114.192,3.2,14.3543
197,85,18.8,56.672,4.896,114.064,3.168,14.41635
195,85,18.848,55.728,4.784,113.424,3.056,14.4744
196,85,18.832,55.264,5.072,114.08,3.152,14.52991
196,85,18.864,55.888,5.024,113.296,3.056,14.58245
195,85,18.8,55.152,4.88,113.232,3.04,14.632
193,85,18.832,53.152,4.864,113.264,3.12,14.67897
192,85,18.752,52.944,4.736,113.408,3.152,14.72347
191,85,18.688,51.552,4.848,112.848,3.072,14.7656
189,85,18.784,50.256,4.72,112.608,3.088,14.80547
187,85,18.688,48.496,4.592,112.528,3.072,14.8434
187,85,18.704,48.688,4.704,112.688,3.104,14.8791
187,85,18.768,49.424,4.608,111.6,2.88,14.91296
190,85,18.704,51.856,4.624,112.256,2.992,14.94479
187,85,18.672,49.328,4.528,112.016,3.04,14.97504
188,85,18.656,50.336,4.72,112.112,3.024,15.00362
190,85,18.64,52.464,4.592,111.568,2.96,15.0308
193,85,18.672,55.216,4.736,111.808,3.056,15.05684
192,85,18.688,55.184,4.528,110.912,3.008,15.08114
191,85,18.624,54.096,4.672,111.024,3.088,15.10419
190,85,18.592,53.6,4.592,110.944,3.104,15.12603
190,85,18.624,53.408,4.832,110.96,3.008,15.14664
191,81,18.64,53.504,4.864,111.024,3.024,15.16637
193,79,18.544,56.496,4.592,110.992,3.088,15.18498
193,79,18.64,56.224,4.56,110.592,2.992,15.20234
193,79,18.64,56.496,4.944,110.192,3.024,15.21911
194,79,18.544,58,4.656,110.288,3.072,15.23491
194,79,18.608,57.808,4.672,110.4,2.992,15.24968
195,79,18.56,58.432,4.816,110.224,3.072,15.26384
196,79,18.56,59.152,4.592,111.12,3.056,15.27736
194,79,18.592,58.48,4.384,110.592,2.832,15.28986
196,79,18.528,58.976,4.64,111.04,3.024,15.30187
195,79,18.496,59.472,4.64,110.24,3.008,15.31334
194,79,18.56,58.736,4.656,109.648,3.088,15.32389
195,79,18.64,58.16,4.688,110.64,3.04,15.33434
191,79,18.496,54.912,4.736,110.16,3.008,15.34372
188,79,18.528,52.624,4.688,109.872,3.088,15.35301
191,79,18.608,55.056,4.592,110.368,3.024,15.36149
191,79,18.592,55.328,4.4,109.68,3.04,15.36977
188,79,18.592,51.968,4.336,110.288,2.96,15.37741
188,79,18.528,51.872,4.848,110.48,2.928,15.38468
189,79,18.592,52.576,4.608,110.288,3.024,15.39196
187,79,18.56,51.088,4.512,110.24,3.056,15.39822
186,79,18.56,49.728,4.592,110.864,3.072,15.40445
188,80,18.576,52.272,4.688,110.256,2.992,15.41067
186,84,18.592,50,4.496,110.16,3.008,15.41588
175,72,18.432,39.184,4.608,110.272,3.024,15.42107
173,72,18.368,37.408,4.464,110.208,2.928,15.42629
172,72,18.352,36.688,4.784,109.648,3.072,15.43117
171,72,18.464,35.392,4.352,110.288,3.024,15.43532
172,72,18.336,37.584,4.368,109.28,3.04,15.43948
172,72,18.4,36.432,4.624,109.536,3.008,15.44367
171,72,18.4,36.432,4.368,109.536,2.928,15.44782
171,72,18.448,36.4,4.256,109.472,3.024,15.45118
174,72,18.352,38.912,4.672,109.616,2.976,15.4543
174,72,18.384,37.824,4.624,110.32,3.12,15.45744
173,72,18.368,38.096,4.544,109.472,2.96,15.46057
173,72,18.4,37.92,4.736,109.12,3.024,15.4637
177,72,18.384,41.312,4.576,109.888,3.008,15.4668
177,72,18.352,42.064,4.592,109.36,3.072,15.46925
176,72,18.32,40.992,4.48,109.888,3.04,15.47131
176,72,18.384,39.984,4.512,110.24,3.008,15.4734
174,72,18.464,39.904,4.512,108.912,3.072,15.47549
178,72,18.512,40.848,4.672,111.712,3.072,14.92708
181,72,18.592,41.904,4.864,112.912,3.12,14.38022
184,72,18.88,41.584,5.2,115.328,3.232,13.86526
187,72,18.992,43.408,5.376,116.816,3.28,13.37672
191,72,19.264,44.976,5.744,117.92,3.248,12.91495
194,72,19.312,47.776,5.6,118.88,3.376,12.47295
196,72,19.424,47.792,5.904,119.936,3.376,12.06018
197,72,19.568,47.584,6.032,120.864,3.456,11.66712
198,72,19.728,47.632,6.144,121.776,3.584,11.29064
195,72,19.68,44.976,5.792,121.824,3.44,11.70445
193,72,19.44,43.904,5.872,120.496,3.424,12.10795
190,72,19.36,42.608,5.776,119.52,3.36,12.4956
192,72,19.28,45.296,5.84,118.288,3.328,12.85534
190,72,19.216,45.408,5.312,117.536,3.232,13.19893
185,72,19.024,41.664,5.2,116.752,3.312,13.52897
186,72,18.976,42.464,5.264,116.448,3.296,13.83604
182,72,18.88,40.528,5.2,114.896,3.248,14.12766
179,72,18.784,39.264,4.768,113.92,3.136,14.40679
181,72,18.624,41.776,4.848,113.168,3.12,14.66815
177,72,18.608,39.504,4.736,111.712,3.184,14.91722
178,72,18.528,40.944,4.8,110.928,3.072,15.15385
177,72,18.448,40.832,4.608,110.144,3.008,15.37365
176,72,18.368,40.896,4.432,110.16,3.088,15.58472
191,85,18.448,57.296,4.416,108.528,2.992,15.78545
190,85,18.448,56.736,4.416,108.304,3.072,15.9741
188,85,18.304,55.296,4.384,107.552,3.104,16.15176
188,85,18.272,56.8,4.368,106.24,2.928,16.32046
190,85,18.304,59.296,4.256,106.064,2.864,16.48156
190,85,18.064,59.408,4.304,105.616,2.976,16.63419
188,85,18.048,58.256,4.176,104.64,2.896,16.7774
187,85,18,58.192,4.304,104.064,2.816,16.91367
186,85,18.032,57.088,4.08,104.144,2.88,17.04203
187,85,17.952,59.056,4.016,103.216,2.976,17.16492
184,85,17.92,57.472,3.936,102.544,2.832,17.28033
183,85,17.936,56.576,4.112,102.112,2.928,17.38902
180,85,17.824,54.8,4.048,101.36,2.8,17.49231
182,85,17.856,57.12,3.904,100.672,2.784,17.58994
180,85,17.744,56.032,3.92,100.464,2.736,17.68391
178,85,17.728,54.016,3.856,99.872,2.88,17.77209
176,85,17.68,52.592,4.016,99.76,2.784,17.85549
175,85,17.696,51.376,3.936,99.392,2.864,17.93389
176,85,17.584,53.792,3.808,98.768,2.816,18.00892
176,85,17.664,53.584,3.792,98.512,2.768,18.07976
176,85,17.6,53.744,3.792,99.072,2.736,18.14621
173,85,17.536,51.136,3.728,98.352,2.768,18.21004
173,85,17.52,51.376,3.808,97.968,2.768,18.26974
172,85,17.568,50.592,3.632,98.352,2.768,18.32669
170,85,17.456,48.352,3.728,98.304,2.752,18.37989
172,85,17.552,50.4,3.84,98,2.752,18.43126
170,85,17.472,49.072,3.792,97.12,2.816,18.47946
169,85,17.36,48.272,3.664,97.648,2.752,18.52498
170,85,17.312,48.912,3.76,97.744,2.816,18.56815
169,85,17.312,48.944,3.696,96.96,2.8,18.60903
168,85,17.248,47.328,3.744,97.328,2.752,18.64785
166,85,17.376,45.536,3.664,97.296,2.832,18.68485
168,85,17.168,48.288,3.792,96.96,2.768,18.71935
167,85,17.296,47.008,3.632,96.528,2.704,18.75246
168,85,17.28,47.84,3.728,96.736,2.736,18.78382
166,85,17.296,46.464,3.68,96.784,2.736,18.81297
166,85,16.944,46.656,3.696,96.32,2.704,18.84112
167,85,17.152,48.176,3.632,96.272,2.736,18.86765
169,85,17.296,48.832,3.616,96.688,2.752,18.89255
167,85,17.232,46.976,3.68,96.688,2.688,18.9159
167,85,17.088,47.808,3.68,96.656,2.736,18.93884
167,85,17.184,46.928,3.664,96.592,2.752,18.9597
164,85,16.816,45.728,3.648,96.016,2.736,18.98032
166,85,17.072,46.8,3.568,95.984,2.736,18.99898
167,85,16.976,47.92,3.632,95.888,2.752,19.0173
169,85,17.136,49.6,3.744,96,2.768,19.03404
169,85,17.088,49.776,3.68,95.856,2.704,19.05066
166,85,17.184,47.44,3.6,95.792,2.704,19.06541
167,85,17.152,47.76,3.584,95.904,2.704,19.08
165,85,16.912,46.288,3.648,95.984,2.688,19.0942
164,85,17.056,45.44,3.648,95.76,2.72,19.10667
164,85,16.88,45.168,3.712,95.696,2.72,19.11917
164,85,17.04,45.328,3.648,95.92,2.688,19.13123
166,85,16.752,47.92,3.632,95.648,2.704,19.14161
167,85,17.072,48.336,3.6,95.616,2.672,19.15205
169,85,17.168,49.552,3.648,96.064,2.72,19.16243
168,85,17.088,49.344,3.664,95.536,2.768,19.17171
168,85,17.168,49.216,3.552,95.888,2.704,19.18006
167,85,16.864,48.704,3.632,95.872,2.656,19.18834
166,85,16.832,48.544,3.568,95.36,2.672,19.19672
164,85,16.832,46.16,3.584,95.328,2.656,19.20503
164,85,16.944,46.032,3.552,95.216,2.688,19.21136
166,85,16.832,47.968,3.552,95.424,2.672,19.21758
165,85,16.88,46.48,3.648,95.6,2.704,19.22387
163,85,16.528,45.904,3.632,95.248,2.672,19.23013
165,85,17.072,46.24,3.616,95.744,2.72,19.23637
164,85,16.944,45.856,3.632,95.856,2.688,19.2426
162,85,16.8,43.568,3.584,95.632,2.656,19.24701
162,85,16.816,44.208,3.584,95.552,2.688,19.25122
164,85,16.72,45.488,3.68,95.6,2.704,19.25537
163,85,16.896,44.8,3.616,95.28,2.704,19.25954
162,85,16.864,44.032,3.616,95.552,2.736,19.26373
163,85,16.768,45.376,3.552,95.088,2.736,19.26787
166,85,16.928,48.304,3.616,95.312,2.688,19.27202
166,85,16.848,47.664,3.584,95.92,2.688,19.27623
166,85,16.832,48.368,3.568,95.52,2.704,19.28038
168,85,17.2,48.4,3.632,96.048,2.768,18.85415
172,85,17.392,51.264,3.744,97.6,2.832,18.43861
173,85,17.584,51.328,3.824,98.448,2.784,18.04329
176,85,17.648,52.32,3.968,100.176,2.848,17.66865
163,72,17.904,36.544,4.048,101.888,2.768,17.31233
166,72,17.92,38.704,4.064,102.912,2.928,16.97539
167,72,18.016,38.032,4.192,104.32,2.928,16.66121
169,72,18.064,38.944,4.128,105.488,2.912,16.35819
170,72,18.24,38.96,4.432,106.144,3.008,16.07523
171,72,18.224,38.432,4.32,107.6,3.072,15.80478
174,72,18.368,40.096,4.416,109.04,3.04,15.54737
175,72,18.416,40.24,4.592,109.184,3.072,15.30462
178,72,18.48,41.488,4.736,110.672,3.104,15.07767
181,72,18.624,42.832,4.816,111.824,3.168,14.86191
180,72,18.592,42.096,4.816,111.968,3.072,14.65629
181,72,18.768,42.128,4.8,112.304,3.184,14.46005
181,72,18.656,41.152,5.136,113.664,3.168,14.27894
182,72,18.784,41.728,5.024,114.08,3.152,14.10326
181,72,18.848,40.56,5.136,114.16,3.264,13.93773
183,72,18.88,40.56,5.36,115.344,3.312,13.78172
187,72,18.96,44.144,5.232,115.456,3.232,13.63491
186,72,19.008,42.672,5.472,115.968,3.264,13.49361
187,72,19.088,43.088,5.536,116.24,3.264,13.36212
189,72,19.136,44.224,5.536,116.848,3.296,13.23644
188,72,19.136,43.024,5.392,117.168,3.312,13.11735
189,72,19.184,44.192,5.424,117.504,3.408,13.0039
188,71,19.312,43.264,5.664,117.296,3.344,12.89763
191,71,19.264,45.12,5.584,118.048,3.36,12.79731
191,71,19.28,45.872,5.648,117.696,3.424,12.70125
191,71,19.28,44.464,5.808,118.24,3.424,12.61054
188,71,19.36,41.984,5.664,118.08,3.392,12.52517
186,71,19.36,40.064,5.536,118.096,3.36,12.44444
190,71,19.392,43.168,5.6,118.816,3.488,12.36702
192,72,19.44,45.44,5.792,118.72,3.44,12.29434
194,72,19.456,46.384,6,119.408,3.392,12.22533
194,72,19.44,46.288,6,119.712,3.504,12.16024
192,72,19.504,44.48,5.984,119.52,3.488,12.0993
195,72,19.504,46.736,6.064,119.664,3.424,12.04067
194,72,19.472,45.616,5.824,120.288,3.472,11.98539
196,72,19.584,47.472,5.76,119.888,3.44,11.93281
195,72,19.6,46.128,6.128,120.224,3.424,11.88287
197,72,19.504,47.872,6.24,120.16,3.392,11.83581
195,72,19.552,45.44,6.4,120.688,3.536,11.79187
197,72,19.712,47.872,6.352,120.384,3.488,11.74957
217,85,19.68,68.304,5.904,120.496,3.408,11.70982
217,85,19.68,67.6,6.256,120.8,3.408,11.67165
216,85,19.808,66.688,6.272,120.72,3.408,11.63621
218,85,19.824,68.112,6.432,120.976,3.408,11.60242
218,85,19.744,68.608,6.144,120.64,3.376,11.57015
217,85,19.856,65.696,6.32,121.648,3.504,11.53994
217,85,19.808,67.536,6.272,120.88,3.44,11.51096
216,85,19.76,66.736,6.192,120.848,3.44,11.48388
217,85,19.712,66.336,6.464,121.056,3.44,11.4581
214,85,19.904,63.968,6.32,121.424,3.376,11.4337
215,85,19.808,64.8,6.32,121.472,3.408,11.41057
213,85,19.808,61.696,6.416,121.568,3.52,11.38867
215,85,19.744,64.656,6.288,121.392,3.616,11.36802
215,80,19.872,64.624,6.192,121.568,3.584,11.34857
214,76,19.824,64.096,5.968,121.344,3.456,11.32987
212,76,19.792,61.6,6.576,121.344,3.488,11.31225
212,76,19.856,60.896,6.544,121.488,3.456,11.29558
211,76,19.872,61.056,6.24,121.056,3.472,11.27992
216,81,19.84,65.184,6.704,121.536,3.584,11.26506
218,85,19.872,66.208,6.528,122.016,3.6,11.25082
214,85,19.872,62.896,6.448,121.616,3.584,11.28205
208,85,19.696,59.136,6.032,120.224,3.392,11.92041
205,85,19.504,57.92,5.872,118.72,3.36,12.5297
202,85,19.344,56.736,5.536,117.136,3.36,13.09768
201,85,19.12,57.376,5.328,115.952,3.36,13.63715
198,85,19.024,56.368,5.024,114.432,3.312,13.99732
194,80,19.072,53.456,4.96,114.224,3.216,13.94345
198,77,19.072,54.896,5.248,115.6,3.36,13.62928
200,77,19.168,56.048,5.376,116.352,3.248,13.33745
206,77,19.232,61.872,5.472,116.576,3.28,13.05503
206,77,19.376,60.304,5.696,117.632,3.296,12.79202
206,82,19.392,59.84,5.712,118.064,3.312,12.7499
203,85,19.376,58.048,5.568,117.36,3.36,13.01121
204,85,19.296,59.648,5.44,116.912,3.36,13.2589
202,85,19.2,58.816,5.392,116.24,3.296,13.49453
200,85,19.088,57.84,5.248,115.584,3.232,13.71863
197,85,19.008,55.232,5.088,114.8,3.232,13.9285
198,85,18.96,57.536,5.152,113.712,3.184,14.13013
195,85,18.944,55.04,5.072,113.424,3.296,14.31874
195,85,18.8,56.144,4.992,112.048,3.184,14.49769
195,85,18.8,56.576,5.008,111.856,3.152,14.6679
196,85,18.768,57.36,4.864,111.776,3.248,14.82873
192,85,18.72,54.88,4.8,110.8,3.136,14.98006
193,85,18.624,57.248,4.576,110.4,3.072,15.12236
189,85,18.64,54.624,4.624,108.848,3.136,15.25974
190,85,18.496,55.104,4.544,109.072,3.136,15.38884
189,85,18.528,55.6,4.384,108.16,3.024,15.51271
187,85,18.544,53.152,4.624,108.592,3.04,15.62723
187,85,18.448,54.24,4.544,107.264,2.96,15.73653
189,85,18.448,55.776,4.416,107.52,3.024,15.84028
188,85,18.432,55.904,4.368,106.816,2.928,15.9395
188,85,18.352,56.384,4.384,106.544,2.992,16.03222
188,85,18.256,56.4,4.288,106.08,3.008,16.12027
186,85,18.288,54.928,4.496,105.904,2.88,16.20393
185,85,18.32,55.152,4.304,105.136,2.976,16.28251
189,85,18.208,58.688,4.208,105.136,2.928,16.35698
188,85,18.208,57.696,4.224,105.104,3.024,16.42809
184,85,18.192,54.96,4.192,103.728,2.928,16.49479
182,85,18.208,53.04,4.4,104.24,2.912,16.5588
183,85,18.208,54.56,4.192,103.536,2.832,16.61878
184,85,18.16,54.544,4.384,104.08,2.928,16.67584
182,85,18.144,53.84,4.08,103.296,2.8,16.72962
182,85,18.144,53.536,4.256,103.712,2.928,16.78034
178,85,18.112,50.768,4.048,103.008,2.896,16.82903
177,85,18.112,49.536,4.016,102.64,2.928,16.87485
175,85,18.096,47.376,4.032,103.104,2.88,16.91782
176,85,18.016,48.96,4.256,102.304,2.8,16.95882
176,85,17.936,49.376,3.984,102.112,2.976,16.99758
174,85,18.032,46.752,4.096,102.784,2.896,17.03447
173,85,17.984,47.056,4.016,101.168,2.88,17.06889
174,85,18.016,47.008,3.984,102.128,3.008,17.1021
174,85,17.968,47.632,4.032,101.872,2.752,17.13335
176,85,17.952,50.08,4.08,101.664,2.768,17.16297
177,85,18,50.688,4.016,101.712,2.864,17.19081
174,85,17.952,48.528,3.888,101.664,2.768,17.21757
173,85,18,47.008,4.096,101.408,2.784,17.24258
174,85,17.904,48.608,3.936,101.552,2.896,17.26606
177,85,17.888,51.008,3.904,101.328,2.928,17.20416
181,84,18.016,54.032,3.952,102.992,2.896,16.95629
183,80,18.096,55.04,4.24,103.424,2.816,16.72477
169,65,18.032,39.92,4.336,104.752,2.832,16.50195
168,65,18.112,38.064,4.336,105.184,2.976,16.29457
167,65,18.176,34.976,4.496,106.576,3.024,16.09677
172,65,18.224,40,4.448,106.384,3.024,15.9075
174,65,18.304,40.688,4.416,107.984,2.992,15.73024
175,65,18.352,41.344,4.512,108.608,3.024,15.56363
178,65,18.416,43.408,4.496,108.96,3.136,15.40436
179,65,18.368,43.696,4.448,109.424,3.168,15.25278
181,65,18.496,45.696,4.752,109.936,3.088,15.11212
180,65,18.512,43.824,4.848,109.92,3.184,14.97714
179,65,18.544,41.984,4.624,111.088,3.12,14.84875
179,65,18.64,41.168,4.848,111.632,3.184,14.72767
181,65,18.688,42.864,4.896,111.584,3.2,14.61088
182,65,18.72,43.264,4.784,112.192,3.184,14.50427
181,65,18.736,42.464,4.96,112.432,3.2,14.4016
181,65,18.816,41.744,4.832,112.48,3.2,14.30455
182,65,18.832,42.224,5.152,113.488,3.152,14.21216
181,65,18.8,41.024,5.008,113.264,3.28,14.1249
184,65,18.816,43.824,5.184,113.488,3.312,14.0424
184,65,18.896,42.624,5.248,114.496,3.232,13.96434
185,65,18.928,42.976,5.008,114.928,3.2,13.89055
182,65,18.928,40.8,5.088,114.864,3.248,13.8202
183,65,18.992,40.64,5.232,114.976,3.264,13.75325
185,65,18.912,42.592,5.088,115.328,3.216,13.69159
186,65,19.056,43.504,5.376,115.52,3.312,13.63144
187,65,18.976,44.784,5.28,115.504,3.28,13.5751
187,65,19.04,43.856,5.264,115.68,3.28,13.52172
186,65,19.136,42.64,5.104,116.064,3.296,13.47153
186,65,19.088,42.4,5.616,115.872,3.248,13.42388
185,65,19.088,42.336,5.232,115.984,3.296,13.37858
185,65,19.072,41.904,5.2,116.304,3.296,13.33577
187,65,19.136,42.88,5.376,116.624,3.264,13.29493
184,69,19.12,40.208,5.44,116.928,3.28,13.25645
184,71,19.072,40.832,5.248,116.512,3.296,13.22034
184,72,19.12,39.968,5.36,116.336,3.312,13.18595
184,72,19.2,39.536,5.472,116.688,3.424,13.15289
186,72,19.056,42.064,5.312,116.848,3.344,13.1223
187,72,19.2,42.704,5.472,116.832,3.312,13.09291
190,72,19.104,46.384,5.456,116.704,3.328,13.06515
191,72,19.152,46.496,5.568,117.312,3.392,13.03889
214,85,19.328,69.424,5.376,116.912,3.264,13.0142
211,85,19.36,65.792,5.632,116.96,3.392,12.99066
214,85,19.36,69.376,5.488,116.96,3.392,12.96852
214,85,19.296,68.768,5.552,117.136,3.312,12.94748
216,85,19.408,69.984,5.632,117.76,3.392,12.92737
214,85,19.376,68.192,5.856,117.536,3.44,12.90864
215,85,19.376,69.712,5.632,117.344,3.376,12.89071
212,85,19.296,67.312,5.552,117.136,3.424,12.8739
212,85,19.44,66.752,5.664,117.6,3.344,12.85785
212,85,19.328,66.88,5.44,117.52,3.408,12.84249
212,85,19.392,66.352,5.744,117.52,3.344,12.82806
209,85,19.312,64.192,5.536,117.168,3.344,12.81453
208,85,19.344,61.872,5.888,117.616,3.488,12.80164
204,85,19.424,59.408,5.264,117.168,3.296,12.78939
206,85,19.408,60.24,5.808,117.904,3.28,12.77787
206,85,19.456,60.464,5.696,117.616,3.344,12.76699
206,85,19.376,60.64,5.488,117.424,3.424,12.75653
205,85,19.392,59.696,5.6,117.824,3.376,12.7469
207,85,19.36,61.984,5.488,117.68,3.328,12.73745
206,85,19.456,60.336,5.536,117.312,3.408,12.76553
203,85,19.312,59.6,5.344,116.192,3.312,13.3145
200,85,19.104,58.096,5.04,115.44,3.28,13.83063
197,85,18.896,57.12,4.928,113.28,3.296,14.32574
196,85,18.832,58.16,4.688,111.344,3.248,14.79403
191,85,18.592,56.544,4.528,109.072,2.96,15.23933
186,85,18.544,52.864,4.56,107.856,3.168,15.48421
188,85,18.576,53.104,4.416,108.912,3.024,15.29276
187,85,18.672,51.344,4.704,109.904,3.056,15.10825
186,85,18.672,50.144,4.736,110.208,3.008,14.93484
188,85,18.752,51.312,4.752,110.448,3.056,14.76975
190,85,18.832,52.88,4.864,111.216,3.072,14.61456
194,85,18.832,55.952,4.912,111.696,3.136,14.46551
196,85,18.88,56.928,4.928,112.224,3.184,14.32743
198,85,18.864,57.6,5.056,113.392,3.232,14.19367
198,85,18.928,57.264,5.2,113.856,3.152,14.0689
200,85,19.04,59.36,5.248,113.984,3.248,13.95104
200,85,19.056,58.272,5.024,114.912,3.2,13.83802
202,85,19.056,59.408,5.2,115.312,3.344,13.73208
204,85,19.12,60.672,5.344,115.552,3.328,13.63149
204,85,19.216,61.024,5.28,115.872,3.28,13.53667
201,85,19.152,58.224,5.296,115.696,3.344,13.44646
199,85,19.216,54.96,5.424,116.128,3.36,13.36097
199,85,19.264,55.472,5.648,116.08,3.328,13.27921
197,85,19.264,52.896,5.328,116.896,3.376,13.20302
200,85,19.248,55.76,5.424,116.944,3.312,13.13082
198,85,19.28,53.92,5.472,116.72,3.392,13.06188
200,85,19.232,55.232,5.6,117.12,3.328,12.99689
201,85,19.376,56.224,5.584,117.264,3.28,12.93583
201,85,19.376,56.128,5.744,116.96,3.376,12.87745
